"Data Source","World Development Indicators",

"Last Updated Date","2015-11-12",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2304401397705","19.0596694946289","18.947790145874","19.0697708129883","18.4301700592041","18.4510898590088","18.077600479126","18.1643390655518","17.4175090789795","17.2918796539307","17.0859107971191","16.82253074646","15.0860900878906","14.7886896133423","","","",
"Andorra","AND","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","15.38732","","","","","","","","9.72676","","","","","","","","","","","","","","","","","","","12.6790103912354","12.0757999420166","12.6528196334839","11.4747200012207","10.4891004562378","10.2476902008057","10.0267896652222","10.3325595855713","9.64017963409424","9.84527015686035","9.58236980438232","9.33028030395508","","",
"Afghanistan","AFG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","41.22332","39.10539","40.38314","38.32161","37.21537","37.30693","35.75747","","","","","","","","","","","","","36.40558","41.20965","","","48.67153","57.91294","","","","32.10315","33.1857109069824","","","","","","","42.3260192871094","42.7703018188477","43.7298202514648","42.8363914489746","44.4170913696289","43.5191497802734","44.6774291992188","","","",
"Angola","AGO","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","44.38688","42.84184","40.89138","32.32685","","","","","","","","31.45022","36.82133","31.77187","29.81775","31.273","33.39832","32.57673","33.42115","","31.87673","27.18103","","","","","","41.75324","","","","","","","","","41.0124015808105","","","45.5865097045898","42.5430603027344","","","","",
"Albania","ALB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.75761","","","22.5678405761719","21.7524394989014","","21.4954109191895","","","","","19.4078006744385","20.1779308319092","19.7020797729492","19.8691692352295","19.4829807281494","19.1210308074951","","",
"Arab World","ARB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","33.700309753418","33.5442008972168","33.3190498352051","33.229419708252","33.038818359375","33.0707893371582","32.5961685180664","31.947660446167","31.6849803924561","31.5693302154541","31.0232906341553","30.6474990844727","30.1637096405029","28.9351596832275","28.6013698577881","27.7183094024658","27.2182998657227","26.7989101409912","26.6146697998047","23.4910106658936","25.0190601348877","24.9506206512451","24.4346103668213","23.9205703735352","24.434850692749","23.8304595947266","24.11496925354","23.3463401794434","23.4903697967529","23.8504104614258","23.3532791137695","22.9241199493408","22.8072700500488","22.5247707366943","22.2485809326172","22.5813694000244","22.3487205505371","22.2714405059814","22.0320701599121","22.1702003479004","22.168140411377","20.5533504486084","19.6690998077393","19.9950008392334","","",
"United Arab Emirates","ARE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","27.30645","23.68994","19.63619","17.17656","14.75211","16.3607","15.67131","16.04642","16.23312","16.25985","16.33794","21.48346","21.77902","24.01023","24.1961","24.84485","24.35787","24.96814","18.34669","18.08003","18.28038","17.63254","17.10681","17.02467","16.99968","16.53584","16.07066","15.85782","16.015510559082","16.1470794677734","15.9476499557495","15.2771596908569","15.215950012207","15.0021800994873","15.230770111084","15.4768695831299","17.1902198791504","","15.6001596450806","16.8335704803467","17.0339698791504","18.1835803985596","16.068639755249","","",
"Argentina","ARG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","19.24521","19.00165","18.77662","18.96393","19.10151","18.22059","18.07052","18.45777","","18.51625","20.23058","20.23262","20.32281","","20.27509","19.97819","20.00797","19.45186","19.25796","","","","","","17.53274","","16.73337","16.66847","19.92697","21.0586490631104","19.3425693511963","17.3271007537842","16.8534507751465","","17.1429595947266","16.6503391265869","16.3388805389404","15.5298700332642","16.3313503265381","","","","","","","",
"Armenia","ARM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.67076","","","20.61326","","19.0061","15.96615","15.9995","16.0707607269287","","20.3441009521484","20.3433208465576","18.8372001647949","20.2624092102051","21.1973209381104","21.2416095733643","19.3076000213623","","","","","","","","",
"American Samoa","ASM","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","23.14286","21.55455","21.58841","","","23.25166","21.86452","","","","","17.07342","","20.88728","21.30919","16.96916","16.87257","15.98807","17.71429","18.5987","17.26316","15.0458","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","25.11017","","25.49091","23.78043","21.64122","26.04296","24.53865","24.50513","","","","","","","","","","","","","","","","","","","","","18.7410106658936","","","","","","","21.503719329834","17.1288890838623","16.2244606018066","15.0656003952026","14.5120296478271","13.8450298309326","","","",
"Australia","AUS","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","25.11653","24.20741","23.59209","21.64596","20.82812","20.04911","19.46907","19.3371","18.8736","","18.72319","","","15.6073","","16.76363","16.59772","16.63185","16.75533","","16.59162","16.56896","16.58239","","18.14897","18.072","17.88299","17.8757","17.8757801055908","","","","","","","","","","","","","","","","",
"Austria","AUT","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","21.43599","21.53882","21.26926","20.63155","20.27134","19.02794","","16.38821","17.08714","15.96325","14.54667","13.96851","13.2592","12.68624","12.16607","10.48049","10.36293","10.52307","10.73233","10.85945","10.81473","10.84969","11.42039","11.90393","11.68606","12.45371","12.22127","12.14873","13.4571504592896","","","13.2680101394653","13.1815996170044","13.1338901519775","12.4088401794434","12.2329196929932","11.8620300292969","11.6293201446533","11.3631401062012","11.0283098220825","10.8939800262451","10.8248901367188","10.7042999267578","","",
"Azerbaijan","AZE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.78412","19.81668","19.5759","18.8577","18.98289","20.16771","20.00307","19.2807","18.779109954834","18.6857395172119","17.1201496124268","16.1851997375488","15.2613897323608","14.2714395523071","13.4483098983765","12.496000289917","11.61559009552","11.296010017395","11.0834197998047","11.0422201156616","11.1644496917725","11.923020362854","","","",
"Burundi","BDI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","36.68174","36.0012","34.64138","31.50771","31.14162","30.86378","30.93946","32.43649","32.79685","34.55094","36.59854","39.30084","47.07764","52.30521","54.25925","56.20973","62.35171","70.73732","68.90551","65.87336","66.89942","65.85671","62.60442","","","45.01689","","47.85557","55.4127388000488","55.359748840332","50.1971893310547","49.0763893127441","49.905689239502","51.2454605102539","48.7039794921875","54.1852188110352","51.9983291625977","","51.3612098693848","50.6021003723145","48.3114318847656","47.104679107666","44.8336410522461","","",
"Belgium","BEL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","19.76149","","","19.25364","","19.37154","19.22805","19.41801","19.00156","19.49122","18.13735","18.1932","","18.55194","16.82338","16.52609","","","","","","","12.35322","12.13049","","","","","","11.9828100204468","12.1316604614258","11.9429302215576","11.8788299560547","11.5730695724487","11.4904003143311","11.2831697463989","11.2027101516724","11.1789999008179","11.1409397125244","11.0342903137207","11.1892404556274","11.2028903961182","11.1429195404053","","",
"Benin","BEN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","41.36824","44.25986","47.28752","45.79663","51.83347","53.42928","48.33616","46.41922","56.04299","54.58195","47.52639","38.94586","37.76215","35.28652","33.47894","33.01836","33.32516","33.43122","34.9071","30.54641","36.15587","39.84578","45.49681","48.34246","49.89695","51.99518","49.97689","52.56747","53.3955917358398","52.6495780944824","53.5228805541992","52.963249206543","62.1705017089844","51.5830001831055","46.8288993835449","43.6233787536621","","44.5530090332031","44.868091583252","46.3917999267578","44.2006683349609","44.1497917175293","43.7285385131836","","",
"Burkina Faso","BFA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","44.4519","47.15783","47.18339","45.03279","47.49876","47.10611","47.78169","49.92135","52.32026","52.9596","54.48514","59.78713","60.34866","57.70058","56.49009","57.7585","67.54567","64.77544","57.35904","55.1772","56.65663","57.83011","59.77943","58.25553","50.97969","49.93909","","46.50149","49.0031814575195","48.8763999938965","47.4188995361328","45.3781204223633","44.6589317321777","48.692928314209","47.1763687133789","45.8314208984375","47.6574516296387","48.9215507507324","48.900260925293","52.3998794555664","52.686408996582","48.2390289306641","46.0962295532227","","",
"Bangladesh","BGD","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","46.48234","42.97594","47.0079","50.04371","51.55862","50.692","50.29924","47.18294","44.15567","43.92033","53.55663","55.27225","","51.40402","46.95204","46.97363","47.83636","48.07506","57.8659","60.39131","63.00499","","","","","","","","","","","","","","","47.0394287109375","47.5390090942383","44.754940032959","43.729190826416","45.7584381103516","42.9747581481934","40.2114791870117","","","","",
"Bulgaria","BGR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.0147","16.69722","17.21601","17.9143695831299","16.8298492431641","17.6910800933838","16.8173599243164","17.1313304901123","16.747730255127","16.2265396118164","15.7121095657349","15.9371099472046","16.0712699890137","17.3138999938965","17.4900894165039","17.4620800018311","17.4181804656982","17.631010055542","","",
